航班日期,出发地编码,目的地编码,均分,评论
2019/2/3,HUZ,WUH,4.17,空乘服务好，值机快捷，提前抵达，机长开得特别稳，非常的平稳，几乎感觉不到颠簸，空乘服务态度超级好，长得也好看，太赞了！特别棒的一次旅途～[称赞][称赞][称赞]
2019/2/10,XMN,CKG,1.56,飞机从15点过一直延误至18:30分都还没有登机，一直流量控制！这么久都没有相关航空公司的工作人员出来解释！什么破航空公司！大家以后还是要选择大的航空公司出行。延误，机场商品贵，[吃惊][吃惊]
2019/2/2,URC,CAN,5,座椅舒适，值机快捷，机场商品多，
2019/2/13,HAK,CKG,4.83,安检很快，值机快捷，餐食好吃，座椅舒适，机场商品多，
2019/2/21,WUH,SHE,2,准时抵达，餐食好吃，安检很快，值机快捷，
2019/2/5,CSX,SHA,5,空乘服务好，安检很快，准时抵达，值机快捷，机场商品多，座椅舒适，餐食好吃，
2019/2/12,CSX,SHA,4.75,值机快捷，准时抵达，安检很快，座椅舒适，机场商品多，
2019/2/21,SYX,SHA,4.6,因为是明珠会员，且在乌鲁木齐（原新疆航空并入南航），一般首选南航，也是乘坐南航新疆B788去三亚的，结果去上海的票延续超过5小时，我直接退了，冲着坐一次最新的B789选择了吉祥，60多次飞行第一次坐民营航空，出乎意料的好，起飞降落充分考虑了乘客的感受非常温柔，空姐漂亮服务好，作为飞机爱好者也是第一次搭乘789，很愉快，美中不足是起降不调暗客舱灯光，影响航拍
2019/2/3,HRB,PVG,3.33,安检很快，值机快捷，准时抵达，座椅舒适，空乘服务好，[称赞]
2019/2/10,SHE,PVG,2.83,机场安检通道未全部打开导致安检时间极长
2019/2/13,XIY,SHA,4.2,准时抵达，空乘服务好，值机快捷，安检很快，
2019/2/8,XIY,SHA,5,准时抵达，餐食好吃，座椅舒适，值机快捷，安检很快，空乘服务好，机场商品多，
2019/2/17,XIY,SHA,5,[笑]
2019/2/24,PVG,TAO,4.7,值机快捷，空乘服务好，安检很快，很好 提前了二十分钟
2019/2/8,XIY,SHA,2.29,一路颠簸！值飞是吉祥航空的，为啥每次吉祥航空的都是这么颠簸呢？行李箱托运直接摔坏了，虽然给予赔付，但是态度很不好，感觉不到一丝的歉意！差评！
2019/2/17,HRB,PVG,4.14,挺好的，就是空姐妹子好像今天都心情不好，要是带点儿微笑就好了！
2019/2/24,CKG,SHA,5,"准时抵达，值机快捷，安检很快，空乘服务好，座椅舒适。
一趟完美的旅程，准时登机，虽然出发略微晚了一点，但是准时到了，途中有餐食和饮料，还是很舒服的，很满意的一趟行程"
2019/2/12,CTU,SHA,3.57,座位比较挤。
2019/2/15,TYN,CSX,4,机场商品多，值机快捷，安检很快，
2019/2/6,WUX,JJN,4.14,准时抵达，
2019/2/10,JJN,WUX,3.5,空乘服务好，
2019/2/20,JJN,WUX,5,空乘服务好，
2019/2/22,JJN,WUX,3.8,感觉挺好的 一直坐深航的航班
2019/2/23,JJN,WUX,2.71,餐食好吃，座椅舒适，准时抵达，
2019/2/7,YCU,JJN,4.86,准时抵达，安检很快，空乘服务好，
2019/2/10,YCU,WUX,4.93,座椅舒适，准时抵达，安检很快，空乘服务好，值机快捷，/非常好！
2019/2/3,WUX,YCU,3.86,延误，
2019/2/19,KHN,YCU,5,值机快捷，餐食好吃，安检很快，空乘服务好，
2019/2/17,CSX,YCU,5,值机快捷，准时抵达，机场商品多，安检很快，空乘服务好，
2019/2/24,YCU,NNG,1,延误，
2019/2/10,HUZ,XFN,2.43,值机快捷，安检很快，空乘服务好，餐食好吃，座椅舒适，
2019/2/2,XFN,HUZ,4.86,准时抵达，空乘服务好，座椅舒适，
2019/2/5,NGB,DLC,4.57,一直喜欢坐深航的飞机，服务很好，不仅空姐长的好看，空少也特别帅，今天的空少太帅了。忘记要微信了！哈哈 [吃惊][吃惊][吃惊][吃惊][吃惊][吃惊][吃惊][吃惊][吃惊][吃惊]/大年初一晚上要回去上班 挺好的 中途遇到气流 很颠簸 服务也可以 餐食要是能改进就完美了！虽然是初一但飞机上人不少 在这里给机组人员点个赞 辛苦了 下次还会坐深航
2019/2/8,NGB,DLC,5,值机快捷，准时抵达，安检很快，空乘服务好，
2019/2/10,DLC,NGB,4,准时抵达，空乘服务好，值机快捷，
2019/2/14,DLC,NGB,4.14,值机快捷，安检很快，空乘服务好，座椅舒适，机场商品多，准时抵达，唯一遗憾的就是餐食太简单了，发了一盒小饼干就完事了。
2019/2/3,NNG,HAK,5,空乘服务好，
2019/2/4,NNG,HAK,3.29,没有餐食，去哪网的信息有误
2019/2/4,HAK,NNG,5,安检很快，
2019/2/5,HAK,NNG,5,安检快 提前快半小时飞机就到了(*^^)/*
2019/2/21,HAK,NNG,5,值机快捷，安检很快，准时抵达，空乘服务好，
2019/2/2,ZUH,SHE,5,空乘服务好，准时抵达，/安检很快，座椅舒适，值机快捷，机场商品多，
2019/2/8,ZUH,HFE,5,空乘服务好，准时抵达，值机快捷，安检很快，餐食好吃，座椅舒适，
2019/2/8,ZUH,SHE,4.71,餐食好吃，机场商品多，座椅舒适，准时抵达，空乘服务好，/空乘服务好，准时抵达，
2019/2/10,ZUH,HFE,4.17,准时抵达，值机快捷，空乘服务好，安检很快，座椅舒适，
2019/2/10,ZUH,SHE,4,准时抵达，空乘服务好，安检不爽，扣押了我带了十几年没出问题的洗发水，那可是不超过100毫升的包装啊。不知为啥，总感觉安检小妹故意刁难我或者看好我的洗发水了[大哭][大哭][大哭]
2019/2/2,SHE,HFE,5,空乘服务好，值机快捷，
2019/2/4,SHE,ZUH,5,安检很快，空乘服务好，准时抵达，值机快捷，餐食好吃，座椅舒适，机场商品多，
2019/2/9,HFE,ZUH,3.83,座椅舒适，
2019/2/24,SHE,ZUH,2,准时抵达，座椅舒适，安检很快，
2019/2/1,ZUH,CGQ,3.43,延误了一个半小时左右，第一段航程没有提供热食，服务还算可以。
2019/2/2,CZX,CGQ,5,值机快捷，空乘服务好，座椅舒适，安检很快，提前抵达
2019/2/3,ZUH,CZX,3.5,准时抵达，空乘服务好，
2019/2/13,ZUH,CZX,4,空乘服务好，准时抵达，值机快捷，
2019/2/3,CGQ,CZX,5,空乘服务好，
2019/2/7,CGQ,CZX,4.86,值机快捷，安检很快，
2019/2/9,CGQ,CZX,3.3,空乘服务好，值机快捷，餐食好吃，
2019/2/18,CGQ,CZX,4.57,安检很慢，延误，
2019/2/24,CZX,ZUH,4.17,安检很快，延误，延误，延误
2019/2/10,ZUH,HRB,5,座椅舒适，
2019/2/6,XFN,ZUH,4,安检很快，空乘服务好，
2019/2/23,HRB,ZUH,4.33,安检很快，餐食好吃，值机快捷，空乘服务好，就是遇上气流很烦
2019/2/9,ZUH,NKG,3.57,座椅舒适，延误太长，没有深航客服出来告知延误原因和何时能起飞，就发瓶饮料和一盒方便面算了事。天气不可为，但是你要有关心的方式取得客户谅解，有时候肯承认自己的错误难能可贵，也是服务深化的一道坎！19年，有幸三次选择深航，3次都晚点，一次比一次严重，重来没有一个有人出来发声，表示抱歉，这或许绝不是偶然。希望新年中，服务质量可以有所提高！
2019/2/11,ZUH,NKG,5,安检很快，值机快捷，空乘服务好，
2019/2/14,ZUH,NKG,5,空乘服务好，值机快捷，
2019/2/16,NKG,ZUH,5,空乘的态度特别好，希望公司能表扬一下！
2019/2/9,KHN,NKG,4,对南昌机场非常不满意，首先备降航班，完全没有组织及安排，值机会打错名字的拼音，安检没有应急预案，整个机场都没有应急预案，很差劲！尤其是值机打错名字后，安检按部就班，没有整体南昌机场概念！希望改进！
2019/2/9,ZUH,JJN,4.67,准时抵达，座椅舒适，空乘服务好，值机快捷，安检很快，
2019/2/12,JJN,NTG,4.73,准时抵达，
2019/2/8,JJN,ZUH,2.67,餐食难吃，
2019/2/11,NTG,JJN,5,空乘服务好，
2019/2/20,NTG,ZUH,4.36,空乘人员很细心 一切都很好
2019/2/21,NTG,JJN,5,空乘服务好，安检很快，
2019/2/12,ZUH,YCU,5,安检很快，座椅舒适，值机快捷，空乘服务好，
2019/2/13,YCU,ZUH,4.86,深航的飞机怎么总是延误
2019/2/12,CGO,SHE,5,空乘服务好，准时抵达，安检很快，
2019/2/3,SHE,CGO,5,空乘服务好，值机快捷，
2019/2/11,CGO,SHE,5,值机快捷，空乘服务好，餐食好吃，准时抵达，机场商品多，安检很快，座椅舒适，/空乘服务好，餐食好吃，
2019/2/20,CGO,SHE,4.86,座椅舒适 空间宽敞！/延误，
2019/2/21,CGO,SHE,5,空乘服务好，餐食好吃，
2019/2/10,SHE,CGO,3.36,桃仙机场再这么搞下去，总有一天会把自己玩完。/对机上吵闹的孩子没有有效的办法，需要研究解决
2019/2/20,SHE,CGO,4,空乘服务好，值机快捷，餐食好吃，准时抵达，
2019/2/14,SHE,CGO,5,空乘服务好，/延误，深圳航空总体来说还是不错的，客观天气原因取消了航班，但住宿条件很给力，餐食配给很到位，服务人员也很负责任，唯一一点遗憾就是在取消航班后安排住宿的时候，是一个人一个人登记的，一百多人深夜登记入住，实在是很耗费时间，又很累，别的都还不错
2019/2/1,NNG,CGO,5,空乘服务好，值机快捷，
2019/2/17,NNG,CGO,5,[称赞]
2019/2/24,NNG,CGO,5,空乘服务好，值机快捷，准时抵达，
2019/2/15,NNG,CGO,5,空乘服务好，
2019/2/8,CGO,NTG,4.14,机场商品多，准时抵达，餐食有点简单……
2019/2/9,CGO,NTG,4.43,准时抵达，
2019/2/18,CGO,NTG,4.14,零食少的可怜
2019/2/20,CGO,NTG,3.5,安检很快，准时抵达，
2019/2/26,NTG,CGO,4.57,服务还行吧，刚上飞机，空乘小姐姐就发了水和小零食，飞行还算平稳，爬升时间长，从南通到南京上空，一直在爬升。有一点延误。客舱的装修还蛮棒的。就是出发机场有一点点尴尬，步行至停机坪登机。
2019/2/9,CGO,BAV,5,空乘服务好，座椅舒适，餐食好吃，
2019/2/14,CGO,HYN,5,准时抵达，
2019/2/10,BAV,CGO,3.4,延误，影响第二程航班
2019/2/11,BAV,CGO,1,中转行李直接转没有任何人告诉我，等了一小时后面飞机误掉了
2019/2/12,BAV,CGO,4,准时抵达，
2019/2/2,NKG,WDS,2,准时抵达，值机快捷，空姐报错机场名也是丢人！一直把武当山机场报成五台山机场
2019/2/14,NKG,WDS,5,机场商品多，安检很快，空乘服务好，准时抵达，
2019/2/9,WDS,NKG,5,空乘服务好，
2019/2/19,WDS,NKG,4.89,准时抵达，座椅舒适，值机快捷，安检很快，机场商品多，餐食希望有待改善，是面包
2019/2/19,XNN,WDS,5,准时抵达，
2019/2/21,XNN,WDS,5,准时抵达，空乘服务好，座椅舒适，
2019/2/28,WDS,NKG,4.12,空乘服务好，
2019/2/4,NKG,HET,4.29,餐食中等，座椅舒适，空乘服务好，空乘还会发老干妈，因为延误，发了两顿饭
2019/2/20,NKG,HET,5,机场商品多，座椅舒适，空乘服务好，值机快捷，准时抵达，安检很快，餐食好吃，
2019/2/3,HET,WDS,4.71,延误，飞机延误五十一分钟。其他都还好。飞行平稳。
2019/2/10,HET,NKG,3,各种晚点，不会再坐[无语]
2019/2/24,HET,NKG,2,飞机慢，延误
2019/2/1,BAV,HFE,5,座椅舒适，空乘服务好，准时抵达，安检很快，值机快捷，餐食好吃，
2019/2/6,BAV,HFE,5,值机快捷，安检很快，餐食好吃，准时抵达，
2019/2/25,BAV,HFE,5,准时抵达，
2019/2/5,HFE,LJG,3.71,空乘服务好，
2019/2/6,LJG,HFE,5,安检很快，餐食好吃，空乘服务好，
2019/2/11,LJG,HFE,3.86,空乘服务好，安检很慢，机场总是打不到热水
2019/2/14,LJG,HFE,3.43,还可以
2019/2/8,HFE,KMG,5,空乘服务好，值机快捷，餐食好吃
2019/2/13,HFE,KMG,5,空乘服务好，
2019/2/20,HFE,KMG,4,机场商品贵，合肥机场商品贵而且服务太差，回话不耐烦，还延误！
2019/2/7,KMG,HFE,5,[称赞]
2019/2/9,KMG,HFE,5,机场商品多，安检很快，餐食好吃，座椅舒适，空乘服务好，准时抵达，值机快捷，
2019/2/11,KMG,HFE,5,准时抵达，
2019/2/13,KMG,HFE,4.43,值机快捷，空乘服务好，座椅舒适，
2019/2/26,KMG,HFE,2,延误，
2019/2/16,TNA,NTG,4.43,行李给摔坏了，贴了易碎，还是给摔坏了[生气]
2019/2/2,NKG,TYN,3.83,总体来说不错，稍微有延误，时间不是很久，没有正餐，花生米和一瓶矿泉水，南京机场饮食选择较多，候机不会很无聊，如果太原机场改造升级一号航站楼就好了，飞机比较平稳，空乘服务也比较及时到位，比较推荐。
2019/2/7,NKG,TYN,4.29,准时抵达，
2019/2/9,JJN,NKG,4.57,机场商品贵，延误，延误，延误
2019/2/12,JJN,NKG,4.83,值机快捷，空乘服务好，座椅舒适，安检很快，
2019/2/20,JJN,NKG,5,空乘服务好，
2019/2/21,JJN,NKG,3,还好!
2019/2/25,JJN,NKG,4.33,座椅舒适，
2019/2/3,NKG,JJN,1.57,飞机严重延误，一个小时半的飞机延误两个小时，经停飞机停了3小时了，登机口人员说前序航班还没到。现在的民航最大痛处就是不少于3小时的延误他都能理直气壮的让你等下去，而且大过年的，真的被气到这次。不接受反驳，你在现场你试试心情。
2019/2/3,TYN,NKG,4.71,餐食难吃，
2019/2/4,NKG,JJN,3.06,安检很快，机场环境也很好，晚点时间太长了，瞌睡
2019/2/9,NKG,JJN,4.21,餐食难吃，/延误，
2019/2/15,NKG,JJN,2.67,延误，客舱拥挤，
2019/2/16,NKG,JJN,5,空乘服务好，
2019/2/18,TYN,NKG,1.5,延误，
2019/2/1,HFE,YNT,4,晚点近2小时
2019/2/9,HFE,YNT,3.8,空乘服务好，新桥机场人太多，柜台开放少
2019/2/13,HFE,YNT,5,空乘服务好，
2019/2/26,HFE,YNT,5,空乘服务好，餐食好吃，
2019/2/1,YNT,HFE,3.29,晚点了
2019/2/6,HFE,JJN,5,值机快捷，空乘服务好，
2019/2/26,YNT,HFE,5,空乘服务好，值机快捷， 不知道是不是因为天气原因 晚点了1个半小时左右
2019/2/2,JJN,TSN,5,安检很快，准时抵达，值机快捷，空乘服务好，
2019/2/10,JJN,TSN,5,准时抵达，机场商品多，安检很快，值机快捷
2019/2/8,TSN,JJN,4.5,空乘服务好，餐食好吃，准时抵达，安检很快，
2019/2/10,TSN,JJN,5,安检很快，座椅舒适，准时抵达，值机快捷，
2019/2/12,TSN,JJN,5,值机快捷，餐食好吃，安检很快，空乘服务好
2019/2/6,JJN,TSN,3.86,空乘服务好，值机快捷，在看书，空乘小姐姐轻轻帮忙打开头顶灯。好温馨！
2019/2/13,TSN,JJN,2.71,空乘服务好，餐食好吃，
2019/2/1,JJN,LHW,5,值机快捷，空乘服务好，安检很快，
2019/2/10,JJN,WUH,4.71,准时抵达，
2019/2/12,JJN,WUH,4.57,空乘服务好
2019/2/11,LHW,JJN,5,安检很快，准时抵达，
2019/2/12,LHW,WUH,5,值机快捷，准时抵达，安检很快，
2019/2/19,LHW,JJN,4,空乘服务好，安检很快，准时抵达，值机快捷，
2019/2/22,WUH,JJN,5,空乘服务好，
2019/2/24,WUH,JJN,4,座椅舒适，空乘服务好，机场商品多，
2019/2/13,JJN,WUH,4.43,值机快捷，安检很快，餐食难吃，
2019/2/10,JJN,CKG,4.75,"餐食好吃，空乘服务好，值机快捷，没有任何机场能媲美我大重庆的T3,快捷，高效，一切井然有序。哪怕是春运高峰，出租车丝毫不乱，出机场2分钟就打上了车。为机场辛苦维持秩序的工作人员点赞！"
2019/2/10,CKG,JJN,3.57,准点率不高啊
2019/2/11,KMG,JJN,5,机场商品多，安检很快，值机快捷，
2019/2/13,JJN,KMG,5,准时抵达，座椅舒适，安检很快，
2019/2/17,JJN,KMG,2.86,晚点不说 餐食就两块面包 到了目的地 居然航站楼都没有 还要坐差不多二十分钟的大巴才到托运行李的地方
2019/2/23,KMG,KHN,4.64,值机快捷，经济舱座位较宽[开心]空乘服务好，
2019/2/2,KHN,URC,5,一切都很顺利，没有什么不妥
2019/2/7,URC,KRL,5,空乘服务好，座椅舒适，值机快捷，安检很快，
2019/2/14,URC,KRL,4.36,机场商品多，值机快捷，
2019/2/16,URC,KRL,5,好！
2019/2/18,URC,KRL,5,值机快捷，安检很快！
2019/2/19,URC,KRL,4.29,安检很快，
2019/2/23,URC,KRL,4.33,机场干净整洁。服务热情周到，给人一种亲切感。行李提取也非常快。/顺利到达库尔勒机场，空气清新，廊桥干净，提取行李速度也特别快！出口也非常安全！
2019/2/9,KRL,URC,1,客舱拥挤，
2019/2/13,KRL,URC,5,值机快捷，空乘服务好，准时抵达，座椅舒适，
2019/2/19,KRL,URC,5,值机快捷，准时抵达，机场服务也不错，飞行距离比较短 很快就到了 也比较平稳
2019/2/25,KRL,URC,5,机场商品多，具有地方特色的干果水果很多。安检很快，准时抵达，值机快捷，。机场工作人员服务态度很好、乐于助人。过安检快速不耗时间，比较方便。飞机飞行也很平稳，准时到达目的地。/座椅舒适，空乘服务好，准时抵达，安检很快，[开心][开心][开心][开心]
2019/2/22,SZX,WXN,4.93,准时抵达，座椅舒适，值机快捷，空乘服务好，安检很快，
2019/2/11,WXN,SZX,5,空乘服务好，
2019/2/20,WXN,SZX,3.75,准时抵达，餐食好吃，空乘服务好
2019/2/1,SZX,YBP,5,安检很快，空乘服务好，准时抵达，座椅舒适，机场商品多，值机快捷，餐食好吃，
2019/2/11,SZX,YBP,5,准时抵达，值机快捷，
2019/2/3,SZX,XFN,5,值机快捷，准时抵达，
2019/2/11,SZX,XFN,5,安检很快，座椅舒适，空乘服务好，机场商品多，准时抵达，值机快捷，餐食好吃，
2019/2/1,SZX,XFN,5,空乘服务好，值机快捷，准时抵达，安检很快，
2019/2/2,XFN,SZX,5,空乘服务好，准时抵达，安检很快，
2019/2/10,XFN,SZX,5,安检很快，座椅舒适，餐食好吃，准时抵达，值机快捷，空乘服务好，
2019/2/12,XFN,SZX,2.71,餐食难吃，安检很慢，
2019/2/10,YBP,SZX,5,餐食好吃，
2019/2/12,YBP,SZX,4.71,深航员工不辞辛苦，不分昼夜，全心全意为旅客服务，保证了春节期间旅客的安全和运输。在此，衷心的感谢他们！
2019/2/3,WNZ,YCU,4.6,空乘服务好，安检很快，值机快捷，
2019/2/12,WNZ,YCU,5,空乘服务好值机快捷
2019/2/21,WNZ,YCU,5,空乘服务好，餐食好吃，准时抵达，安检很快，座椅舒适，以后还来坐/空乘服务好，机场商品多，餐食好吃，值机快捷，准时抵达，座椅舒适，安检很快，
2019/2/13,YCU,WNZ,4.57,延误，机场商品贵，餐食难吃，客舱拥挤，
2019/2/14,YCU,WNZ,2.86,机场商品多，空乘服务好，
2019/2/20,YCU,WNZ,4.14,延误，这个延误也太久了，机场也没有安排人员给乘客其他方面的服务！！！就这样在机场等了4个小时！！！
2019/2/21,HUZ,XIY,1.71,准时抵达，
2019/2/26,HUZ,XIY,2.38,空乘服务好，
2019/2/11,XIY,HUZ,5,座椅舒适，准时抵达，餐食好吃，值机快捷，安检很快，空乘服务好，
2019/2/15,XIY,HUZ,5,[称赞][称赞][称赞]
2019/2/26,HUZ,KHN,4.33,餐食不好吃
2019/2/28,HUZ,KHN,5,安检很快，空乘服务好，值机快捷，
2019/2/1,KHN,HUZ,4.86,餐食好吃，准时抵达，
2019/2/4,KHN,HUZ,5,准时抵达，值机快捷，
2019/2/19,KHN,HUZ,5,安检很快，准时抵达，空乘服务好，座椅舒适，值机快捷，机场商品多，餐食好吃，
2019/2/13,WNZ,HUZ,4,"准时抵达，餐食好吃，空乘服务好，座椅舒适，值机快捷，安检很快，机场商品多，
就是飞机上有些人太吵了，严重影响他人，希望空乘管理人员可以做好安排和通
知"
2019/2/13,ZHA,WNZ,3.57,安检很快，空乘服务好，
2019/2/14,ZHA,WNZ,1,惠州机场太小服务太差航班中途经停晚点2小时候机大厅连个吸烟室都没有空乘服务好，
2019/2/4,DIG,SZX,3.86,值机快捷，
2019/2/12,DIG,SZX,5,值机快捷，座椅舒适，空乘服务好，
2019/2/26,DIG,SZX,4,座椅舒适，空乘服务好，
2019/2/1,SZX,LHW,5,准时抵达，座椅舒适，空乘服务好，机场商品多，餐食好吃，值机快捷，安检很快，
2019/2/7,SZX,LHW,3.71,飞机体验真的差，第一次晕机，晃的不行，做附近的一个阿姨直接吐到地上了，飞机安全讲解视频没放完就关了，最后着陆后还觉得人在晃。
2019/2/15,SZX,LHW,5,座椅舒适，空乘服务好，安检很快，准时抵达，餐食好吃，值机快捷.
2019/2/11,WMT,SZX,4.57,准时抵达，值机快捷，安检很快，空乘服务好，
2019/2/18,LHW,SZX,4.14,延误，在飞机上坐了一个多小时等什么贵阳的流量管制，真是服了，整个机场其他飞机都飞了，就我们一架在管制，我也是醉了。
2019/2/3,WUX,CAN,5,空乘服务好，安检很快，值机快捷，
2019/2/5,WUX,CAN,5,准时抵达，值机快捷，座椅舒适，餐食好吃，
2019/2/23,WUX,CAN,5,准时抵达，安检很快，空乘服务好，餐食好吃，值机快捷，座椅舒适，
2019/2/27,WUX,CAN,3.77,大陆飞行以来第一次颠簸这么长久，第一次感受到耳朵压差疼痛，以往只有国际航班海上影响才有过的感觉，这次竟然在神州大陆上领会了！最最不愉快的飞行[无语][无语][无语][无语][无语][无语]
2019/2/15,JJN,TPE,4.26,哈哈哈哈哈哈
2019/2/10,TPE,SZX,4.43,值机快捷，餐食好吃，空乘服务好，机场商品多，准时抵达，安检很快，
2019/2/7,TPE,SZX,3.86,还行
2019/2/13,TPE,SZX,2.93,机场商品多，/安检很快，延误，
2019/2/16,TPE,SZX,2.57,一般
2019/2/1,WUX,TPE,4.71,老是航空管制，飛機延誤。
2019/2/3,WUX,TPE,4.43,准时抵达，
2019/2/5,TPE,WUX,2.86,空乘服务好，准时抵达，安检很快，
2019/2/12,TPE,WUX,4.64,值机快捷，准时抵达，/准时抵达，值机快捷，空乘服务好，
2019/2/13,TPE,SHE,5,5星给机组，虽然延误了那么久，虽然飞机那么破。但，这班飞机起飞的特别带感，一点不拖泥带水，像一个娴熟的老司机，开着破捷达，一路狂飙追时间。空乘服务好，主动给孩子毯子，儿童餐也挺好吃
2019/2/2,TPE,KHN,4.33,安检很快，/座椅舒适，值机快捷，安检很快，机场商品多，
2019/2/13,TPE,NNG,4.86,延误
2019/2/4,NTG,TPE,4,准时抵达，
2019/2/1,TPE,NTG,4.26,机场商品多，
2019/2/13,TPE,NTG,4.29,安检很快，值机快捷，空乘服务好，准时抵达，座椅舒适，
2019/2/11,JJN,HKG,4.71,空乘服务好，准时抵达，值机快捷，
2019/2/19,JJN,HKG,2.43,客舱拥挤，餐食难吃，机场商机舱卫生差，安检很慢，品贵，
2019/2/5,WUX,HKG,5,值机快捷，空乘服务好，安检很快，
2019/2/14,WUX,HKG,3.8,这个时段的机餐是半年来坐深航几十次最好吃的，因为有牛肉炒饭。
2019/2/25,WUX,HKG,4.95,餐食好吃，安检很快，空乘服务好，值机快捷，
2019/2/26,WUX,HKG,4.82,安检很快，座椅舒适，值机快捷，准时抵达，
2019/2/4,HKG,WUX,2.17,延误，
